id,channel,seller,int_rate,orig_upb,loan_term,start_date,first_pay_date,ltv,cltv,borrow_numb,dti,borrow_credit_score,buyer_indic,purpose,prop_type,nb_units,occ_status,prop_state,zip,insurance_perc,prod_type,coborrow_credit_score,insurance_type,reloc_indic
100007365142,R,JPMORGAN CHASE BANK_ NA,8,75000,360,12/1999,02/2000,79,,1,62,763,N,R,SF,1,P,PA,173,,FRM,,,N
100007386460,B,JPMORGAN CHASE BANK_ NA,7.875,55000,180,01/2000,03/2000,69,,1,12,633,N,R,CO,1,P,MD,208,,FRM,,,N
100011322040,C,AMTRUST BANK,7.75,123000,360,11/1999,01/2000,80,,1,28,750,N,P,SF,1,P,MO,630,,FRM,,,N
100015192562,R,OTHER,8.5,51000,360,02/2000,04/2000,95,,1,27,686,N,P,SF,1,P,GA,316,25,FRM,,1,N
100015874399,C,CITIMORTGAGE_ INC.,8.75,242000,360,02/2000,04/2000,95,,1,47,706,N,P,SF,1,P,FL,335,30,FRM,,1,N
100017922445,C,AMTRUST BANK,8.25,240000,360,12/1999,02/2000,77,,2,19,737,N,P,SF,1,P,MI,483,,FRM,731,,N
100019048933,C,OTHER,7.5,52000,180,12/1999,02/2000,95,,,,,U,P,SF,1,P,FL,347,30,FRM,,1,N
100020205696,R,FIRST TENNESSEE BANK NATIONAL ASSOCIATION,7.625,225000,360,07/1999,09/1999,64,,2,21,793,N,P,SF,1,P,WA,980,,FRM,770,,N
