id_2,curr_date,service_name,curr_int_rate,curr_upb,age,remain_to_mat,adj_remain_to_mat,mat_date,msa,deliq_stat,modif_flag,zero_bal_code,zero_bal_date,last_paid_date,foreclosure_date,disp_date,foreclosure_cost,preservation,recovery_cost,misc,taxes,net_sale,cred_enh,repurchase,other,bearing_upb,forgiveness_upb,flag,foreclosure_amount,serv_ind
100015192562,03/01/2000,,8.5,,0,360,359,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,04/01/2000,,8.5,,1,359,359,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,05/01/2000,,8.5,,2,358,358,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,06/01/2000,,8.5,,3,357,357,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,07/01/2000,,8.5,,4,356,356,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,08/01/2000,,8.5,,5,355,355,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,09/01/2000,,8.5,51110.22,6,354,354,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,10/01/2000,,8.5,51077.8,7,353,353,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,11/01/2000,,8.5,51045.15,8,352,352,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,12/01/2000,,8.5,51012.27,9,351,351,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,01/01/2001,,8.5,50630.16,10,350,340,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,02/01/2001,,8.5,50594.34,11,349,339,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,03/01/2001,,8.5,50558.27,12,348,338,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,04/01/2001,,8.5,50521.94,13,347,337,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,05/01/2001,,8.5,50485.35,14,346,336,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,06/01/2001,,8.5,50448.5,15,345,335,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,07/01/2001,,8.5,50411.39,16,344,334,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,08/01/2001,,8.5,50374.02,17,343,333,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,09/01/2001,,8.5,50336.39,18,342,332,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,10/01/2001,,8.5,50298.49,19,341,331,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,11/01/2001,,8.5,50260.32,20,340,330,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,12/01/2001,OTHER,8.5,50221.88,21,339,329,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,01/01/2002,,8.5,50183.17,22,338,328,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,02/01/2002,,8.5,50144.18,23,337,327,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,03/01/2002,,8.5,50104.92,24,336,326,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,04/01/2002,,8.5,50065.38,25,335,325,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,05/01/2002,,8.5,50025.56,26,334,324,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,06/01/2002,,8.5,49985.46,27,333,323,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,07/01/2002,,8.5,49945.07,28,332,322,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,08/01/2002,,8.5,49904.4,29,331,321,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,09/01/2002,,8.5,49863.44,30,330,320,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,10/01/2002,,8.5,49822.19,31,329,319,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,11/01/2002,,8.5,49780.65,32,328,318,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,12/01/2002,,8.5,49738.81,33,327,317,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,01/01/2003,,8.5,49696.68,34,326,316,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,02/01/2003,,8.5,49654.25,35,325,315,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,03/01/2003,,8.5,49611.52,36,324,314,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,04/01/2003,,8.5,49568.48,37,323,313,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,05/01/2003,,8.5,49525.14,38,322,312,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,06/01/2003,,8.5,49481.49,39,321,311,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,07/01/2003,,8.5,49437.53,40,320,310,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,08/01/2003,,8.5,49393.26,41,319,309,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,09/01/2003,,8.5,49348.68,42,318,308,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,10/01/2003,,8.5,49303.78,43,317,307,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
100015192562,11/01/2003,,8.5,49258.57,44,316,306,03/2030,46660,0,N,,,,,,,,,,,,,,,,,,,
